il,yil,gosterge_kodu,gosterge,deger
Yozgat,2016,yatak_1000,Bin kişiye düşen hastane yatağı,2.32
Zonguldak,2016,yatak_1000,Bin kişiye düşen hastane yatağı,3.63
Çanakkale,2016,yatak_1000,Bin kişiye düşen hastane yatağı,2.71
Çankırı,2016,yatak_1000,Bin kişiye düşen hastane yatağı,2.31
Çorum,2016,yatak_1000,Bin kişiye düşen hastane yatağı,2.9
İstanbul,2016,yatak_1000,Bin kişiye düşen hastane yatağı,2.44
İzmir,2016,yatak_1000,Bin kişiye düşen hastane yatağı,2.7
Şanlıurfa,2016,yatak_1000,Bin kişiye düşen hastane yatağı,1.96
Şırnak,2016,yatak_1000,Bin kişiye düşen hastane yatağı,1.3
Adana,2017,yatak_1000,Bin kişiye düşen hastane yatağı,3.25
Adıyaman,2017,yatak_1000,Bin kişiye düşen hastane yatağı,2.14
Afyon,2017,yatak_1000,Bin kişiye düşen hastane yatağı,3.03
Aksaray,2017,yatak_1000,Bin kişiye düşen hastane yatağı,1.79
Amasya,2017,yatak_1000,Bin kişiye düşen hastane yatağı,2.29
Ankara,2017,yatak_1000,Bin kişiye düşen hastane yatağı,3.38
Antalya,2017,yatak_1000,Bin kişiye düşen hastane yatağı,2.86
Ardahan,2017,yatak_1000,Bin kişiye düşen hastane yatağı,1.8
Artvin,2017,yatak_1000,Bin kişiye düşen hastane yatağı,2.08
Aydın,2017,yatak_1000,Bin kişiye düşen hastane yatağı,2.87
Ağrı,2017,yatak_1000,Bin kişiye düşen hastane yatağı,1.6
Balıkesir,2017,yatak_1000,Bin kişiye düşen hastane yatağı,2.75
Bartın,2017,yatak_1000,Bin kişiye düşen hastane yatağı,2.23
Batman,2017,yatak_1000,Bin kişiye düşen hastane yatağı,2.25
Bayburt,2017,yatak_1000,Bin kişiye düşen hastane yatağı,2.49
Bilecik,2017,yatak_1000,Bin kişiye düşen hastane yatağı,1.44
Bingöl,2017,yatak_1000,Bin kişiye düşen hastane yatağı,2.56
Bitlis,2017,yatak_1000,Bin kişiye düşen hastane yatağı,2.71
Bolu,2017,yatak_1000,Bin kişiye düşen hastane yatağı,4.84
Burdur,2017,yatak_1000,Bin kişiye düşen hastane yatağı,2.73
Bursa,2017,yatak_1000,Bin kişiye düşen hastane yatağı,2.41
Denizli,2017,yatak_1000,Bin kişiye düşen hastane yatağı,3.2
Diyarbakır,2017,yatak_1000,Bin kişiye düşen hastane yatağı,2.63
Düzce,2017,yatak_1000,Bin kişiye düşen hastane yatağı,1.84
Edirne,2017,yatak_1000,Bin kişiye düşen hastane yatağı,4.7
Elazığ,2017,yatak_1000,Bin kişiye düşen hastane yatağı,4.73
Erzincan,2017,yatak_1000,Bin kişiye düşen hastane yatağı,2.13
Erzurum,2017,yatak_1000,Bin kişiye düşen hastane yatağı,4.75
Eskişehir,2017,yatak_1000,Bin kişiye düşen hastane yatağı,3.57
Gaziantep,2017,yatak_1000,Bin kişiye düşen hastane yatağı,2.93
Giresun,2017,yatak_1000,Bin kişiye düşen hastane yatağı,3.54
Gümüşhane,2017,yatak_1000,Bin kişiye düşen hastane yatağı,1.83
Hakkari,2017,yatak_1000,Bin kişiye düşen hastane yatağı,1.43
Hatay,2017,yatak_1000,Bin kişiye düşen hastane yatağı,2.52
Isparta,2017,yatak_1000,Bin kişiye düşen hastane yatağı,4.56
Iğdır,2017,yatak_1000,Bin kişiye düşen hastane yatağı,1.61
Kahramanmaraş,2017,yatak_1000,Bin kişiye düşen hastane yatağı,2.57
Karabük,2017,yatak_1000,Bin kişiye düşen hastane yatağı,2.72
Karaman,2017,yatak_1000,Bin kişiye düşen hastane yatağı,2.4
Kars,2017,yatak_1000,Bin kişiye düşen hastane yatağı,2.67
Kastamonu,2017,yatak_1000,Bin kişiye düşen hastane yatağı,2.89
Kayseri,2017,yatak_1000,Bin kişiye düşen hastane yatağı,3.0
Kilis,2017,yatak_1000,Bin kişiye düşen hastane yatağı,2.35
Kocaeli,2017,yatak_1000,Bin kişiye düşen hastane yatağı,2.25
Konya,2017,yatak_1000,Bin kişiye düşen hastane yatağı,3.22
Kütahya,2017,yatak_1000,Bin kişiye düşen hastane yatağı,3.12
Kırklareli,2017,yatak_1000,Bin kişiye düşen hastane yatağı,2.48
Kırıkkale,2017,yatak_1000,Bin kişiye düşen hastane yatağı,4.64
Kırşehir,2017,yatak_1000,Bin kişiye düşen hastane yatağı,2.01
Malatya,2017,yatak_1000,Bin kişiye düşen hastane yatağı,3.77
Manisa,2017,yatak_1000,Bin kişiye düşen hastane yatağı,3.13
Mardin,2017,yatak_1000,Bin kişiye düşen hastane yatağı,1.79
